id_Anel1,ID_Anel_Anel1,ID_Frag_1_Anel1,ID_Frag_2_Anel1,ID_Frag_3_Anel1,ID_Ponte,id_Anel2,ID_Anel_Anel2,ID_Frag_1_Anel2,ID_Frag_2_Anel2,ID_Frag_3_Anel2,smiles,lambda_max_previsto,incerteza_std
575,3,3,13,15,17,6443,33,1,8,6,CC(=O)NC1:C:C:C(=C(C#N)C#N):C(C=CC=CC=CC=CC2(N(C)C)C(N=O)SCC2[N+](=O)O):N:1C,495.03055547113763,21.961598927299846
4458,23,1,3,10,13,386,2,23,21,19,CCNC1(C=CC=CC2(S(=O)(=O)[O][Na])CC(C)C(N(C)C)C2):C:C:C(C(=O)[O][Na]):C(Br):C:1,495.02993360389956,21.252718381661555
5434,28,13,7,9,16,5337,27,24,5,15,CCN(CC)C1C(C=CC=CC=CN2C(=C(C#N)C#N)CC(Cl)N2C(C)C)ON(NC(C)=O)C1OC,494.974297411865,8.67111259661996
8172,41,2,7,4,12,7566,38,21,6,20,CCC1:C(OC):C:N([SH](=O)=O):O:C:1C#CC#CC1(Br)SC([N+](=O)O)CC1[O][Na],494.9665202645798,22.415818418761354
2831,15,4,15,5,15,5245,27,18,25,11,CCOC(=O)C1NN(CC=CC=CC2:C(Cl):C:C:S(=C(C#N)C#N):C:2CC)C(N)C1=N,494.9604691292866,10.129703324686918
3896,20,26,21,24,14,5741,29,20,25,9,CCN(CC)C1CS([O][Na])(OC2:O:C(=O):C:S(Br):C:2C(C)C)NC1=N,494.9483416071947,31.142690749839467
2499,13,2,21,2,20,870,5,4,8,7,CCC1:C(N=O):C(OC):C:C:S:1C=CC(C)=CC1:C:S([SH](=O)=O):C:C(Br):C:1[SH](=O)=O,494.9040186154572,16.70644244841039
6223,32,18,10,17,9,2817,15,6,17,22,CCOC(=O)[SH]1CNC(S(=O)(=O)[O][Na])C1(C(F)(F)F)C1([N+](=O)O):C:C(S(=O)(=O)O):C(C(F)(F)F):C:S:1,494.86166981044937,22.08282438481047
4664,24,24,17,15,20,1597,8,14,13,20,CC(=O)NC1:O:C:C([O][Na]):C:C:1(C=CC(C)=CC1C(=C(C#N)C#N)CC(C(F)(F)F)N1C(C)C)C(=O)O,494.84020795102896,29.98215578723415
8552,43,16,12,1,17,6888,35,16,24,21,CC(C)N1CC(Br)C(C=CC=CC=CC=CC2:C:C(N(C)C):C(O):N:N:2CN(CC(=O)O)CC(=O)O)(CN(CC(=O)O)CC(=O)O)C1,494.79124273097915,20.117574210922008
1001,6,21,22,11,15,7437,38,7,4,9,CCN(CC)C1C[SH](CC)C(CC=CC=CC2:B:C(Br):C(S(=O)(=O)O):C(N):C:2)(OC)C1,494.7727162242559,8.375771584476164
8509,43,24,25,19,16,2771,14,22,6,22,CC(C)N1:N:C(=N):C(C(=O)[O][Na]):C:C:1C=CC=CC=CC1(S(=O)(=O)O):C:C:C:S(S(=O)(=O)O):C:1[N+](=O)O,494.7629800679022,27.363541749248455
5312,27,6,10,10,2,6866,35,12,25,17,N=C1NCC(O)(C(=O)C=CC2C(S(=O)(=O)[O][Na])CN(S(=O)(=O)[O][Na])N2[N+](=O)O)C1C(F)(F)F,494.7560674232603,23.478339622102684
2905,15,17,8,14,7,2832,15,1,2,19,CN(C)C1(N=CC2:C:S(C(F)(F)F):C(N=O):C:C:2C(=O)O):C:C(C(=O)[O][Na]):C:C([SH](=O)=O):S:1,494.75007296542225,11.585290181913583
6763,34,24,2,5,4,1706,9,3,1,20,CC(C)N1CC(Cl)(C=CC2(C):C:C([O][Na]):C(N(C)C):C:O:2)CC1[SH](=O)=O,494.7148241866341,12.503345399923544
7366,37,14,2,18,3,2883,15,7,24,18,CCOC(=O)C1:C:C(C(C)C):S:C(C=CC(=O)CC(=O)C=CC2(C(=O)OCC)COC([SH](=O)=O)C2C(=O)O)(OC):C:1,494.7119079792613,27.39233257966011
6376,32,25,20,10,16,2489,13,23,8,13,CCNC1(C=CC=CC=CC2(S(=O)(=O)[O][Na])SC(=N)NC2[O][Na]):C:C:S(NC(C)=O):C:C:1N=O,494.6826785229881,7.24366480268811
8641,44,17,24,13,15,359,2,26,20,12,CC(=O)NC1:C(C(C)C):C:S(C(F)(F)F):N:C:1C=CC=CCC1:C:C(O):C:C([O][Na]):C:1=O,494.66688752661537,33.00550556410759
5780,29,12,17,12,16,286,2,4,20,16,CCC1:C:C([O][Na]):C(CN(CC(=O)O)CC(=O)O):C:C:1C=CC=CC=CC1(O)CC(C(F)(F)F)N[SH]1O,494.63842603600904,15.344762465686337
3452,18,11,24,13,4,4191,21,4,15,19,CCS1(C=CC2:C(NC(C)=O):S:C(C(C)C):C:N:2N):C:C:S(C(=O)[O][Na]):C(=C(C#N)C#N):C:1,494.5841384149392,28.246162018188983
2238,12,8,16,22,2,2209,12,12,20,15,N#CC(C#N)=C1:C:C:N([O][Na]):C(O)(C(=O)C=CC2:C(N=O):N:C:C(CN(CC(=O)O)CC(=O)O):C:2S(=O)(=O)O):C:1,494.56385776680617,39.798144487637835
3879,20,1,24,21,18,9475,48,5,24,15,CC(C)S1:C(N(C)C):C:O:C(NC[SH]2CC(=C(C#N)C#N)[SH](C(C)C)C2Cl):C:1Br,494.5192935744666,16.428910018389505
8926,45,1,16,24,5,6235,32,16,14,13,CC(=O)NC1C[SH](CN(CC(=O)O)CC(=O)O)(=NC2:C:C:C(C(C)C):S(CN(CC(=O)O)CC(=O)O):S:2N(C)C)C(C(=O)O)N1,494.49462413506114,32.672429933759794
6416,33,8,6,4,4,7573,38,5,26,19,CCC1C(C=CC2(Cl)C(C(=O)[O][Na])CCS2=O)CC(N=O)[SH]1[N+](=O)O,494.482272699235,15.255383511642547
3365,17,21,20,25,20,6240,32,1,4,12,CCC1NCC(O)S1(C=CC(C)=CC1:C:O:C(=N):C([O][Na]):N:1Br)N(C)C,494.4696531829233,11.692880686828893
5642,29,12,15,5,6,5794,29,15,8,6,N#CC(C#N)=C1CC(Cl)(C=S2(=C(C#N)C#N)CCC([N+](=O)O)N2N=O)[SH](O)N1,494.4385208544928,43.62901481250017
4713,24,23,17,1,4,6231,32,20,26,16,CCNC1NC(C=C[SH]2C([O][Na])NC(=O)C2CN(CC(=O)O)CC(=O)O)(N(C)C)CC1C(F)(F)F,494.4058407445329,28.78123124764914
5829,30,8,14,21,20,2248,12,16,22,19,CC(C=CC1:C:C(C(=O)[O][Na]):C:C(S(=O)(=O)O):N:1CN(CC(=O)O)CC(=O)O)=CC1(Br)CN(C(=O)O)CN1N=O,494.3692404923093,27.960457905213783
5964,30,2,14,19,19,2415,13,5,14,1,CN(C)C1:C:C(C(=N)C2(C(=O)[O][Na])NC([SH](=O)=O)NC2C(=O)O):C:C(Cl):S:1C(=O)O,494.3687164912849,24.582016059924968
6382,32,18,9,12,13,909,5,7,6,20,CCOC(=O)[SH]1CNC(N(CC)CC)C1(O)C=CC=CS1(OC):C:C:C:C([O][Na]):C:1[N+](=O)O,494.3557551589266,14.363955949675603
5837,30,10,17,21,16,3434,18,13,13,12,CC(=O)NC1:C:N(C=CC=CC=CC2(Br)NCN(S(=O)(=O)[O][Na])C2C(F)(F)F):C:C(O):S:1NC(C)=O,494.34914397903884,23.086896370077536
4033,21,24,3,21,7,2260,12,14,23,18,CCNC1:C(C(=O)OCC):C:C(N=CC2:C:S(Br):C:C(C):S:2C(C)C):N:C:1C(=O)O,494.3096967142931,28.426702804383538
6394,32,10,13,23,13,924,5,10,22,23,CCNC1:C:C(S(=O)(=O)O):C:S(C=CC=CC2(NCC)CN(NC(C)=O)C(S(=O)(=O)[O][Na])S2)(S(=O)(=O)[O][Na]):C:1,494.2975951153943,28.792664752701153
1014,6,1,24,6,4,2905,15,17,8,14,CC(C)C1:C(N(C)C):C:B:C(C=CC2:C:C(C(=O)O):C:C(N=O):S:2C(F)(F)F):C:1[N+](=O)O,494.2923167199027,20.026174922610366
5006,26,2,15,19,7,5733,29,12,13,1,CC(=O)NN1C(N(C)C)CCS1(O)N=CC1(C(=O)[O][Na])CCC(=C(C#N)C#N)[SH]1[SH](=O)=O,494.28104387094027,21.032453992171817
8416,43,10,6,10,13,1489,8,12,3,5,CC1:O:C(Cl):C:C:C:1(O)C=CC=CC1:N:N(S(=O)(=O)[O][Na]):C([N+](=O)O):C:C:1S(=O)(=O)[O][Na],494.23809820005425,19.97742258560139
6684,34,5,26,17,16,3510,18,19,22,26,O=C1CC(C=CC=CC=CN2:C:C:S(=O):C(S(=O)(=O)O):C:2C(=O)[O][Na])(C(F)(F)F)C(Cl)N1,494.2377493281068,24.653586794118294
